@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,1,https://api.elsevier.com/content/author/author_id/57193538376,57193538376,Armstrong N.M.,Armstrong,Nicole M.,N.M.,true,60017252,1,NA
true,2,https://api.elsevier.com/content/author/author_id/21833490100,21833490100,Bangen K.J.,Bangen,Katherine J.,K.J.,true,60079887,1,NA
true,3,https://api.elsevier.com/content/author/author_id/7004117684,7004117684,Au R.,Au,Rhoda,R.,true,60006385,1,NA
true,4,https://api.elsevier.com/content/author/author_id/35104749500,35104749500,Gross A.L.,Gross,Alden L.,A.L.,true,60006183,1,NA
true,1,https://api.elsevier.com/content/author/author_id/6602763291,6602763291,De Cabo R.,De Cabo,Rafael,R.,true,114204760,2,NA
true,2,https://api.elsevier.com/content/author/author_id/36046169900,36046169900,Mattson M.P.,Mattson,Mark P.,M.P.,true,60017252,2,NA
true,1,https://api.elsevier.com/content/author/author_id/7003673520,7003673520,Maynard S.,Maynard,Scott,S.,true,60017743,3,NA
true,2,https://api.elsevier.com/content/author/author_id/6602318370,6602318370,Keijzers G.,Keijzers,Guido,G.,true,60030840,3,NA
true,3,https://api.elsevier.com/content/author/author_id/7004726946,7004726946,Akbari M.,Akbari,Mansour,M.,true,60030840,3,NA
true,4,https://api.elsevier.com/content/author/author_id/57210569546,57210569546,Ezra M.B.,Ezra,Michael Ben,M.B.,true,60030840,3,NA
true,5,https://api.elsevier.com/content/author/author_id/55624010000,55624010000,Hall A.,Hall,Arnaldur,A.,true,60017743,3,NA
true,6,https://api.elsevier.com/content/author/author_id/55319281800,55319281800,Morevati M.,Morevati,Marya,M.,true,60030840,3,NA
true,7,https://api.elsevier.com/content/author/author_id/25633162000,25633162000,Scheibye-Knudsen M.,Scheibye-Knudsen,Morten,M.,true,60030840,3,NA
true,8,https://api.elsevier.com/content/author/author_id/55883468500,55883468500,Gonzalo S.,Gonzalo,Susana,S.,true,60000945,3,NA
true,9,https://api.elsevier.com/content/author/author_id/7103077558,7103077558,Bartek J.,Bartek,Jiri,J.,true,60017743,3,NA
true,10,https://api.elsevier.com/content/author/author_id/7102128395,7102128395,Bohr V.A.,Bohr,Vilhelm A.,V.A.,true,60030840,3,NA
true,1,https://api.elsevier.com/content/author/author_id/55383137800,55383137800,Mazucanti C.H.,Mazucanti,Caio Henrique,C.H.,true,60017252,4,NA
true,2,https://api.elsevier.com/content/author/author_id/35792196200,35792196200,Liu Q.R.,Liu,Qing Rong,Q.R.,true,60017252,4,NA
