@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,44,https://api.elsevier.com/content/author/author_id/35373332400,35373332400,Province M.M.,Province,Michael M.,M.M.,true,60022756,82,NA
true,45,https://api.elsevier.com/content/author/author_id/7006729865,7006729865,Rankinen T.,Rankinen,Tuomo,T.,true,60021235,82,NA
true,46,https://api.elsevier.com/content/author/author_id/7102381732,7102381732,Redline S.,Redline,Susan,S.,true,60002746,82,NA
true,47,https://api.elsevier.com/content/author/author_id/18535933700,18535933700,Ridker P.M.,Ridker,Paul M.,P.M.,true,60016782,82,NA
true,48,https://api.elsevier.com/content/author/author_id/56284453500,56284453500,Rotter J.I.,Rotter,Jerome I.,J.I.,true,60016081,82,NA
true,49,https://api.elsevier.com/content/author/author_id/56187710400,56187710400,Siscovick D.,Siscovick,David,D.,true,60008877,82,NA
true,50,https://api.elsevier.com/content/author/author_id/7501688408,7501688408,Smith B.H.,Smith,Blair H.,B.H.,true,60171138,82,NA
true,51,https://api.elsevier.com/content/author/author_id/36037246700,36037246700,van Duijn C.,van Duijn,Cornelia,C.,true,60032114,82,NA
true,52,https://api.elsevier.com/content/author/author_id/57211703435,57211703435,Zonderman A.B.,Zonderman,Alan B.,A.B.,true,60017252,82,NA
true,53,https://api.elsevier.com/content/author/author_id/57217192196,57217192196,Rao D.C.,Rao,D. C.,D.C.,true,60022756,82,NA
true,54,https://api.elsevier.com/content/author/author_id/59783046100,59783046100,Wilson J.G.,Wilson,James G.,J.G.,true,60013794,82,NA
true,55,https://api.elsevier.com/content/author/author_id/24329223700,24329223700,Dupuis J.,Dupuis,Josée,J.,true,60019674,82,NA
true,56,https://api.elsevier.com/content/author/author_id/7006125159,7006125159,Meigs J.B.,Meigs,James B.,J.B.,true,60001001,82,NA
true,57,https://api.elsevier.com/content/author/author_id/57209780577,57209780577,Liu C.T.,Liu,Ching Ti,C.T.,true,60019674,82,NA
true,58,https://api.elsevier.com/content/author/author_id/14632804400,14632804400,Vassy J.L.,Vassy,Jason L.,J.L.,true,60002746,82,NA
true,1,https://api.elsevier.com/content/author/author_id/53876772700,53876772700,Bryois J.,Bryois,Julien,J.,true,60012311,83,NA
true,2,https://api.elsevier.com/content/author/author_id/55373156000,55373156000,Skene N.G.,Skene,Nathan G.,N.G.,true,60012311,83,NA
true,3,https://api.elsevier.com/content/author/author_id/35765453400,35765453400,Hansen T.F.,Hansen,Thomas Folkmann,T.F.,true,60015199,83,0000-0001-6703-7762
true,4,https://api.elsevier.com/content/author/author_id/54684252200,54684252200,Kogelman L.J.A.,Kogelman,Lisette J.A.,L.J.A.,true,60015199,83,NA
true,5,https://api.elsevier.com/content/author/author_id/57212779517,57212779517,Watson H.J.,Watson,Hunna J.,H.J.,true,60020469,83,0000-0001-8405-381X
true,6,https://api.elsevier.com/content/author/author_id/57203690007,57203690007,Liu Z.,Liu,Zijing,Z.,true,60020413,83,NA
true,7,https://api.elsevier.com/content/author/author_id/7004481045,7004481045,Adan R.,Adan,Roger,R.,true,60032724,83,NA
true,8,https://api.elsevier.com/content/author/author_id/7007140234,7007140234,Alfredsson L.,Alfredsson,Lars,L.,true,60012311,83,NA
true,9,https://api.elsevier.com/content/author/author_id/7402175903,7402175903,Ando T.,Ando,Tetsuya,T.,true,60017451,83,NA
true,10,https://api.elsevier.com/content/author/author_id/56600076200,56600076200,Andreassen O.,Andreassen,Ole,O.,true,60105037,83,NA
true,11,https://api.elsevier.com/content/author/author_id/57203254507,57203254507,Baker J.,Baker,Jessica,J.,true,60020469,83,NA
true,12,https://api.elsevier.com/content/author/author_id/57207904938,57207904938,Bergen A.,Bergen,Andrew,A.,true,60109144,83,NA
true,13,https://api.elsevier.com/content/author/author_id/7006304124,7006304124,Berrettini W.,Berrettini,Wade,W.,true,60003711,83,NA
true,14,https://api.elsevier.com/content/author/author_id/6603503591,6603503591,Birgegård A.,Birgegård,Andreas,A.,true,60012311,83,NA
true,15,https://api.elsevier.com/content/author/author_id/11940900200,11940900200,Boden J.,Boden,Joseph,J.,true,60002143,83,NA
true,16,https://api.elsevier.com/content/author/author_id/56376486400,56376486400,Boehm I.,Boehm,Ilka,I.,true,60025676,83,NA
true,17,https://api.elsevier.com/content/author/author_id/7006392230,7006392230,Boni C.,Boni,Claudette,C.,true,60000905,83,NA
