@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,orcid,entry_number
true,3,https://api.elsevier.com/content/author/author_id/6601999320,6601999320,Ridnour L.A.,Ridnour,Lisa A.,L.A.,true,60027053,NA,384
true,4,https://api.elsevier.com/content/author/author_id/6507913481,6507913481,Tocchetti C.G.,Tocchetti,Carlo G.,C.G.,true,60017293,NA,384
true,5,https://api.elsevier.com/content/author/author_id/7003660073,7003660073,Miranda K.,Miranda,Katrina,K.,true,60013542,NA,384
true,6,https://api.elsevier.com/content/author/author_id/56120922300,56120922300,Juhaszova M.,Juhaszova,Magdalena,M.,true,60017252,NA,384
true,7,https://api.elsevier.com/content/author/author_id/7004669255,7004669255,Sollott S.J.,Sollott,Steven J.,S.J.,true,60017252,NA,384
true,8,https://api.elsevier.com/content/author/author_id/56777331300,56777331300,Wink D.A.,Wink,David A.,D.A.,true,60027053,NA,384
true,9,https://api.elsevier.com/content/author/author_id/6701685289,6701685289,Paolocci N.,Paolocci,Nazareno,N.,true,100367797,NA,384
true,1,https://api.elsevier.com/content/author/author_id/7102252503,7102252503,Ludwig D.S.,Ludwig,David S.,D.S.,true,60030521,NA,385
true,2,https://api.elsevier.com/content/author/author_id/56229140200,56229140200,Aronne L.J.,Aronne,Louis J.,L.J.,true,60007997,NA,385
true,3,https://api.elsevier.com/content/author/author_id/57215554218,57215554218,Astrup A.,Astrup,Arne,A.,true,60030840,NA,385
true,4,https://api.elsevier.com/content/author/author_id/6602763291,6602763291,De Cabo R.,De Cabo,Rafael,R.,true,60017252,NA,385
true,5,https://api.elsevier.com/content/author/author_id/35394495300,35394495300,Cantley L.C.,Cantley,Lewis C.,L.C.,true,60007997,NA,385
true,6,https://api.elsevier.com/content/author/author_id/56282947600,56282947600,Friedman M.I.,Friedman,Mark I.,M.I.,true,60018436,NA,385
true,7,https://api.elsevier.com/content/author/author_id/36038154600,36038154600,Heymsfield S.B.,Heymsfield,Steven B.,S.B.,true,60021235,NA,385
true,8,https://api.elsevier.com/content/author/author_id/14121618900,14121618900,Johnson J.D.,Johnson,James D.,J.D.,true,60010365,NA,385
true,9,https://api.elsevier.com/content/author/author_id/7404244711,7404244711,King J.C.,King,Janet C.,J.C.,true,60025038,NA,385
