@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/6602805658,6602805658,0000-0002-6812-0127,Moaddel R.,Moaddel,Ruin,R.,true,60017252,1
true,2,https://api.elsevier.com/content/author/author_id/15848542100,15848542100,NA,Farmer C.A.,Farmer,Cristan A.,C.A.,true,60003158,1
true,3,https://api.elsevier.com/content/author/author_id/57226298167,57226298167,NA,Yavi M.,Yavi,Mani,M.,true,60003158,1
true,4,https://api.elsevier.com/content/author/author_id/16021977200,16021977200,NA,Kadriu B.,Kadriu,Bashkim,B.,true,60003158,1
true,5,https://api.elsevier.com/content/author/author_id/56418933800,56418933800,NA,Zhu M.,Zhu,Min,M.,true,60017252,1
true,6,https://api.elsevier.com/content/author/author_id/7402794717,7402794717,NA,Fan J.,Fan,Jinshui,J.,true,60017252,1
true,7,https://api.elsevier.com/content/author/author_id/57405909200,57405909200,NA,Chen Q.,Chen,Qinghua,Q.,true,60017252,1
true,8,https://api.elsevier.com/content/author/author_id/12445987000,12445987000,NA,Lehrmann E.,Lehrmann,Elin,E.,true,60017252,1
true,9,https://api.elsevier.com/content/author/author_id/7004033816,7004033816,NA,Fantoni G.,Fantoni,Giovanna,G.,true,60017252,1
true,10,https://api.elsevier.com/content/author/author_id/13611167600,13611167600,NA,De S.,De,Supriyo,S.,true,60017252,1
true,11,https://api.elsevier.com/content/author/author_id/55383137800,55383137800,NA,Mazucanti C.H.,Mazucanti,Caio H.,C.H.,true,60017252,1
true,12,https://api.elsevier.com/content/author/author_id/57200939095,57200939095,NA,Acevedo-Diaz E.E.,Acevedo-Diaz,Elia E.,E.E.,true,60003158,1
true,13,https://api.elsevier.com/content/author/author_id/7103140505,7103140505,NA,Yuan P.,Yuan,Peixiong,P.,true,60003158,1
true,14,https://api.elsevier.com/content/author/author_id/7006654360,7006654360,NA,Gould T.D.,Gould,Todd D.,T.D.,true,60012957,1
true,15,https://api.elsevier.com/content/author/author_id/57190280520,57190280520,NA,Park L.T.,Park,Lawrence T.,L.T.,true,60003158,1
true,16,https://api.elsevier.com/content/author/author_id/7202144917,7202144917,NA,Egan J.M.,Egan,Josephine M.,J.M.,true,60017252,1
true,17,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,NA,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,1
true,18,https://api.elsevier.com/content/author/author_id/57203081301,57203081301,NA,Zarate C.A.,Zarate,Carlos A.,C.A.,true,60003158,1
true,1,https://api.elsevier.com/content/author/author_id/55911583000,55911583000,0000-0002-1050-4523,Beydoun M.A.,Beydoun,May A.,M.A.,true,60017252,2
true,2,https://api.elsevier.com/content/author/author_id/24073158800,24073158800,NA,Beydoun H.A.,Beydoun,Hind A.,H.A.,true,60017252,2
true,3,https://api.elsevier.com/content/author/author_id/57212038293,57212038293,NA,Noren Hooten N.,Noren Hooten,Nicole,N.,true,60017252,2
true,4,https://api.elsevier.com/content/author/author_id/14028522300,14028522300,NA,Meirelles O.,Meirelles,Osorio,O.,true,60017252,2
true,5,https://api.elsevier.com/content/author/author_id/55706952000,55706952000,NA,Li Z.,Li,Zhiguang,Z.,true,60017252,2
true,6,https://api.elsevier.com/content/author/author_id/21742392200,21742392200,NA,El-Hajj Z.W.,El-Hajj,Ziad W.,Z.W.,true,60002494,2
true,7,https://api.elsevier.com/content/author/author_id/57195982912,57195982912,NA,Weiss J.,Weiss,Jordan,J.,true,60012708,2
true,8,https://api.elsevier.com/content/author/author_id/57207914189,57207914189,NA,Maino Vieytes C.A.,Maino Vieytes,Christian A.,C.A.,true,60017252,2
true,9,https://api.elsevier.com/content/author/author_id/7006392362,7006392362,NA,Launer L.J.,Launer,Lenore J.,L.J.,true,60017252,2
true,10,https://api.elsevier.com/content/author/author_id/7404538531,7404538531,0000-0002-8546-2831,Evans M.K.,Evans,Michele K.,M.K.,true,60017252,2
true,11,https://api.elsevier.com/content/author/author_id/57211703435,57211703435,0000-0002-6523-4778,Zonderman A.B.,Zonderman,Alan B.,A.B.,true,60017252,2
true,1,https://api.elsevier.com/content/author/author_id/57862290200,57862290200,NA,Wang Y.,Wang,Yajun,Y.,true,60017252,3
true,2,https://api.elsevier.com/content/author/author_id/58769438600,58769438600,NA,Zhu W.,Zhu,Wei,W.,true,60017252,3
true,3,https://api.elsevier.com/content/author/author_id/57215691350,57215691350,NA,Jang Y.,Jang,Yumi,Y.,true,60001117,3
true,4,https://api.elsevier.com/content/author/author_id/7004135663,7004135663,NA,Sommers J.A.,Sommers,Joshua A.,J.A.,true,60017252,3
true,5,https://api.elsevier.com/content/author/author_id/58768946200,58768946200,NA,Yi G.,Yi,Gong,G.,true,60017252,3
true,6,https://api.elsevier.com/content/author/author_id/17135779100,17135779100,NA,Puligilla C.,Puligilla,Chandrakala,C.,true,60017252,3
true,7,https://api.elsevier.com/content/author/author_id/7003454250,7003454250,NA,Croteau D.L.,Croteau,Deborah L.,D.L.,true,60017252,3
true,8,https://api.elsevier.com/content/author/author_id/20434913000,20434913000,NA,Yang Y.,Yang,Yibin,Y.,true,60009389,3
