@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/56814195200,56814195200,0000-0003-0401-0954,Ma F.,Ma,Fei,F.,true,60017252,1
true,2,https://api.elsevier.com/content/author/author_id/15061896300,15061896300,NA,Ollikainen N.,Ollikainen,Noah,N.,true,60017252,1
true,3,https://api.elsevier.com/content/author/author_id/7201901312,7201901312,NA,Du H.,Du,Hansen,H.,true,60017252,1
true,4,https://api.elsevier.com/content/author/author_id/56400961000,56400961000,NA,Braikia F.Z.,Braikia,Fatima Zohra,F.Z.,true,60017252,1
true,5,https://api.elsevier.com/content/author/author_id/59670890400,59670890400,NA,Cui N.,Cui,Nina,N.,true,60017252,1
true,6,https://api.elsevier.com/content/author/author_id/57393992300,57393992300,NA,Bianchi A.H.,Bianchi,Aisha Haley,A.H.,true,60017252,1
true,7,https://api.elsevier.com/content/author/author_id/57219100628,57219100628,0000-0001-7899-0110,Dunn C.,Dunn,Christopher,C.,true,60017252,1
true,8,https://api.elsevier.com/content/author/author_id/57188538699,57188538699,NA,Nguyen C.,Nguyen,Cuong,C.,true,60017252,1
true,9,https://api.elsevier.com/content/author/author_id/7402794717,7402794717,0009-0001-9300-1920,Fan J.,Fan,Jinshui,J.,true,60017252,1
true,10,https://api.elsevier.com/content/author/author_id/13611167600,13611167600,0000-0002-2075-7655,De S.,De,Supriyo,S.,true,60017252,1
true,11,https://api.elsevier.com/content/author/author_id/7202971481,7202971481,0000-0002-1916-3905,Sen R.,Sen,Ranjan,R.,true,60017252,1
true,12,https://api.elsevier.com/content/author/author_id/56799655000,56799655000,0000-0001-9161-9033,Qiu X.,Qiu,Xiang,X.,true,60017252,1
true,1,https://api.elsevier.com/content/author/author_id/59666135600,59666135600,NA,Cao C.,Cao,Chongwen,C.,true,60002058,2
true,2,https://api.elsevier.com/content/author/author_id/59666324500,59666324500,NA,Gong W.,Gong,Weiyi,W.,true,60002058,2
true,3,https://api.elsevier.com/content/author/author_id/58844117300,58844117300,NA,Shuai Y.,Shuai,Yuanlong,Y.,true,60002058,2
true,4,https://api.elsevier.com/content/author/author_id/59124725100,59124725100,NA,Rasouli S.,Rasouli,Sara,S.,true,60002058,2
true,5,https://api.elsevier.com/content/author/author_id/59666514200,59666514200,NA,Ge Q.,Ge,Qianyun,Q.,true,60002058,2
true,6,https://api.elsevier.com/content/author/author_id/58450723600,58450723600,NA,Khan A.,Khan,Anam,A.,true,60002058,2
true,7,https://api.elsevier.com/content/author/author_id/23979432800,23979432800,NA,Dakic A.,Dakic,Aleksandra,A.,true,60017252,2
true,8,https://api.elsevier.com/content/author/author_id/37085485500,37085485500,NA,Putluri N.,Putluri,Nagireddy,N.,true,60002441,2
true,9,https://api.elsevier.com/content/author/author_id/7006205144,7006205144,NA,Shvets G.,Shvets,Gennady,G.,true,60104946,2
true,10,https://api.elsevier.com/content/author/author_id/35761803300,35761803300,NA,Zheng Y.L.,Zheng,Yun Ling,Y.L.,true,60020908,2
true,11,https://api.elsevier.com/content/author/author_id/57192945543,57192945543,NA,Daneshdoust D.,Daneshdoust,Danyal,D.,true,60002058,2
true,12,https://api.elsevier.com/content/author/author_id/59666135700,59666135700,NA,Mahyoob R.,Mahyoob,Rani,R.,true,60002058,2
true,13,https://api.elsevier.com/content/author/author_id/58453530600,58453530600,NA,Li J.,Li,Jenny,J.,true,60002058,2
true,14,https://api.elsevier.com/content/author/author_id/57223720725,57223720725,0000-0002-9922-9627,Liu X.,Liu,Xuefeng,X.,true,60002058,2
true,1,https://api.elsevier.com/content/author/author_id/14819149700,14819149700,NA,Ecarnot F.,Ecarnot,Fiona,F.,true,60031276,3
true,2,https://api.elsevier.com/content/author/author_id/55405927400,55405927400,NA,Thiyagarajan J.A.,Thiyagarajan,Jotheeswaran Amuthavalli,J.A.,true,60027142,3
true,3,https://api.elsevier.com/content/author/author_id/7005672378,7005672378,NA,Barbagallo M.,Barbagallo,Mario,M.,true,60017697,3
true,4,https://api.elsevier.com/content/author/author_id/57194188401,57194188401,NA,Barratt J.,Barratt,Jane,J.,true,116732568,3
true,5,https://api.elsevier.com/content/author/author_id/59648738700,59648738700,NA,Constantinescu S.,Constantinescu,Stefan,S.,true,112233428,3
true,6,https://api.elsevier.com/content/author/author_id/7005974893,7005974893,NA,Elkayam O.,Elkayam,Ori,O.,true,60008870,3
true,7,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,NA,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,3
true,8,https://api.elsevier.com/content/author/author_id/23993425700,23993425700,NA,Hiligsmann M.,Hiligsmann,Mickaël,M.,true,60018869,3
true,9,https://api.elsevier.com/content/author/author_id/8624249300,8624249300,NA,Kapetanovic M.,Kapetanovic,Meliha,M.,true,60118584,3
true,10,https://api.elsevier.com/content/author/author_id/36853417900,36853417900,NA,Macchia F.,Macchia,Francesco,F.,true,132286599,3
true,11,https://api.elsevier.com/content/author/author_id/55641083000,55641083000,NA,Michel J.P.,Michel,Jean Pierre,J.P.,true,60004718,3
true,12,https://api.elsevier.com/content/author/author_id/7004685362,7004685362,NA,Migliore A.,Migliore,Alberto,A.,true,60066451,3
true,13,https://api.elsevier.com/content/author/author_id/7006878417,7006878417,NA,Pilotto A.,Pilotto,Alberto,A.,true,106436022,3
true,14,https://api.elsevier.com/content/author/author_id/55142246300,55142246300,NA,Sieber C.,Sieber,Cornel,C.,true,60000765,3
true,15,https://api.elsevier.com/content/author/author_id/14054970700,14054970700,NA,Strangfeld A.,Strangfeld,Anja,A.,true,60072517,3
true,16,https://api.elsevier.com/content/author/author_id/36998781200,36998781200,NA,Veronese N.,Veronese,Nicola,N.,true,60196832,3
true,17,https://api.elsevier.com/content/author/author_id/55058027700,55058027700,NA,Vetrano D.L.,Vetrano,Davide Liborio,D.L.,true,60012311,3
true,18,https://api.elsevier.com/content/author/author_id/57203083453,57203083453,NA,Maggi S.,Maggi,Stefania,S.,true,60021199,3
true,19,https://api.elsevier.com/content/author/author_id/7102794196,7102794196,NA,Rizzoli R.,Rizzoli,René,R.,true,60009963,3
true,1,https://api.elsevier.com/content/author/author_id/56350916100,56350916100,0000-0002-4666-0923,Arnold M.,Arnold,Matthias,M.,true,60005200,4
true,2,https://api.elsevier.com/content/author/author_id/57211120959,57211120959,0000-0001-5027-5078,Buyukozkan M.,Buyukozkan,Mustafa,M.,true,60007997,4
true,3,https://api.elsevier.com/content/author/author_id/57202614626,57202614626,NA,Doraiswamy P.M.,Doraiswamy,P. Murali,P.M.,true,60005200,4
true,4,https://api.elsevier.com/content/author/author_id/6603774035,6603774035,NA,Nho K.,Nho,Kwangsik,K.,true,60021947,4
true,5,https://api.elsevier.com/content/author/author_id/57199057417,57199057417,0000-0002-2296-3380,Wu T.,Wu,Tong,T.,true,60024007,4
true,6,https://api.elsevier.com/content/author/author_id/7003353432,7003353432,0000-0001-5696-0084,Gudnason V.,Gudnason,Vilmundur,V.,true,60071115,4
true,7,https://api.elsevier.com/content/author/author_id/7006392362,7006392362,0000-0002-3238-7612,Launer L.J.,Launer,Lenore J.,L.J.,true,60017252,4
true,8,https://api.elsevier.com/content/author/author_id/57195572746,57195572746,0000-0002-8794-8229,Wang-Sattler R.,Wang-Sattler,Rui,R.,true,60024007,4
true,9,https://api.elsevier.com/content/author/author_id/57196563176,57196563176,NA,Adamski J.,Adamski,Jerzy,J.,true,60024007,4
true,10,https://api.elsevier.com/content/author/author_id/56463723000,56463723000,0000-0002-8057-2505,De Jager P.L.,De Jager,Philip L.,P.L.,true,60027565,4
true,11,https://api.elsevier.com/content/author/author_id/6507433239,6507433239,0000-0003-4436-8889,Ertekin-Taner N.,Ertekin-Taner,Nilüfer,N.,true,60002333,4
true,12,https://api.elsevier.com/content/author/author_id/57651397600,57651397600,NA,Bennett D.A.,Bennett,David A.,D.A.,true,60009452,4
true,13,https://api.elsevier.com/content/author/author_id/57218790347,57218790347,0000-0002-1376-8532,Saykin A.J.,Saykin,Andrew J.,A.J.,true,60021947,4
true,14,https://api.elsevier.com/content/author/author_id/7402105900,7402105900,NA,Peters A.,Peters,Annette,A.,true,60024007,4
