@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,1,https://api.elsevier.com/content/author/author_id/7101841106,7101841106,Dubois B.,Dubois,Bruno,B.,true,60015622,1,NA
true,2,https://api.elsevier.com/content/author/author_id/35575002200,35575002200,Villain N.,Villain,Nicolas,N.,true,60015622,1,NA
true,3,https://api.elsevier.com/content/author/author_id/58827698800,58827698800,Schneider L.,Schneider,Lon,L.,true,60015183,1,NA
true,4,https://api.elsevier.com/content/author/author_id/7201444328,7201444328,Fox N.,Fox,Nick,N.,true,60019953,1,NA
true,5,https://api.elsevier.com/content/author/author_id/18036473900,18036473900,Campbell N.,Campbell,Noll,N.,true,60013867,1,NA
true,6,https://api.elsevier.com/content/author/author_id/57200742211,57200742211,Galasko D.,Galasko,Douglas,D.,true,60121548,1,NA
true,7,https://api.elsevier.com/content/author/author_id/6701347410,6701347410,Kivipelto M.,Kivipelto,Miia,M.,true,60019295,1,NA
true,8,https://api.elsevier.com/content/author/author_id/7006672877,7006672877,Jessen F.,Jessen,Frank,F.,true,60204358,1,NA
true,9,https://api.elsevier.com/content/author/author_id/35114773100,35114773100,Hanseeuw B.,Hanseeuw,Bernard,B.,true,60012936,1,NA
true,10,https://api.elsevier.com/content/author/author_id/58043185700,58043185700,Boada M.,Boada,Mercè,M.,true,60068651,1,NA
true,11,https://api.elsevier.com/content/author/author_id/7102989379,7102989379,Barkhof F.,Barkhof,Frederik,F.,true,60022148,1,NA
true,12,https://api.elsevier.com/content/author/author_id/7102413103,7102413103,Nordberg A.,Nordberg,Agneta,A.,true,60012311,1,NA
true,13,https://api.elsevier.com/content/author/author_id/57219556947,57219556947,Froelich L.,Froelich,Lutz,L.,true,60257150,1,NA
true,14,https://api.elsevier.com/content/author/author_id/7006374342,7006374342,Waldemar G.,Waldemar,Gunhild,G.,true,60006564,1,NA
true,15,https://api.elsevier.com/content/author/author_id/39261216900,39261216900,Frederiksen K.S.,Frederiksen,Kristian Steen,K.S.,true,60006564,1,NA
true,16,https://api.elsevier.com/content/author/author_id/55996824100,55996824100,Padovani A.,Padovani,Alessandro,A.,true,60015300,1,NA
true,17,https://api.elsevier.com/content/author/author_id/54995927100,54995927100,Planche V.,Planche,Vincent,V.,true,60106793,1,NA
true,18,https://api.elsevier.com/content/author/author_id/7103076267,7103076267,Rowe C.,Rowe,Christopher,C.,true,60026553,1,NA
true,19,https://api.elsevier.com/content/author/author_id/36631574100,36631574100,Bejanin A.,Bejanin,Alexandre,A.,true,60023020,1,NA
true,20,https://api.elsevier.com/content/author/author_id/55172691400,55172691400,Ibanez A.,Ibanez,Agustin,A.,true,60003942,1,NA
true,21,https://api.elsevier.com/content/author/author_id/7005836132,7005836132,Cappa S.,Cappa,Stefano,S.,true,60105475,1,NA
true,22,https://api.elsevier.com/content/author/author_id/7004425659,7004425659,Caramelli P.,Caramelli,Paulo,P.,true,60030074,1,NA
true,23,https://api.elsevier.com/content/author/author_id/7003850677,7003850677,Nitrini R.,Nitrini,Ricardo,R.,true,60008088,1,NA
true,24,https://api.elsevier.com/content/author/author_id/36903824700,36903824700,Allegri R.,Allegri,Ricardo,R.,true,60024120,1,NA
true,25,https://api.elsevier.com/content/author/author_id/56394322900,56394322900,Slachevsky A.,Slachevsky,Andrea,A.,true,60281340,1,NA
true,26,https://api.elsevier.com/content/author/author_id/57222305424,57222305424,De Souza L.C.,De Souza,Leonardo Cruz,L.C.,true,60030074,1,NA
true,27,https://api.elsevier.com/content/author/author_id/6507716623,6507716623,Bozoki A.,Bozoki,Andrea,A.,true,60020469,1,NA
true,28,https://api.elsevier.com/content/author/author_id/35192393500,35192393500,Widera E.,Widera,Eric,E.,true,60023691,1,NA
true,29,https://api.elsevier.com/content/author/author_id/7101909602,7101909602,Blennow K.,Blennow,Kaj,K.,true,60027675,1,NA
true,30,https://api.elsevier.com/content/author/author_id/7006045864,7006045864,Ritchie C.,Ritchie,Craig,C.,true,60022132,1,NA
true,31,https://api.elsevier.com/content/author/author_id/56584893400,56584893400,Agronin M.,Agronin,Marc,M.,true,129001193,1,NA
true,32,https://api.elsevier.com/content/author/author_id/7004116513,7004116513,Lopera F.,Lopera,Francisco,F.,true,60055833,1,NA
true,33,https://api.elsevier.com/content/author/author_id/23974320600,23974320600,Delano-Wood L.,Delano-Wood,Lisa,L.,true,60079887,1,NA
true,34,https://api.elsevier.com/content/author/author_id/20337025600,20337025600,Bombois S.,Bombois,Stéphanie,S.,true,60015622,1,NA
true,35,https://api.elsevier.com/content/author/author_id/7404061255,7404061255,Levy R.,Levy,Richard,R.,true,60015622,1,NA
true,36,https://api.elsevier.com/content/author/author_id/6507073742,6507073742,Thambisetty M.,Thambisetty,Madhav,M.,true,60017252,1,NA
true,37,https://api.elsevier.com/content/author/author_id/7102484391,7102484391,Georges J.,Georges,Jean,J.,true,60211256,1,NA
true,38,https://api.elsevier.com/content/author/author_id/58474909000,58474909000,Jones D.T.,Jones,David T.,D.T.,true,60005558,1,NA
true,39,https://api.elsevier.com/content/author/author_id/7004037083,7004037083,Lavretsky H.,Lavretsky,Helen,H.,true,60006511,1,NA
true,40,https://api.elsevier.com/content/author/author_id/7103177641,7103177641,Schott J.,Schott,Jonathan,J.,true,60019953,1,NA
true,41,https://api.elsevier.com/content/author/author_id/8944504600,8944504600,Gatchel J.,Gatchel,Jennifer,J.,true,60029929,1,NA
true,42,https://api.elsevier.com/content/author/author_id/59784231700,59784231700,Swantek S.,Swantek,Sandra,S.,true,131958622,1,NA
true,43,https://api.elsevier.com/content/author/author_id/7004046835,7004046835,Newhouse P.,Newhouse,Paul,P.,true,60003915,1,NA
true,44,https://api.elsevier.com/content/author/author_id/7201854388,7201854388,Feldman H.H.,Feldman,Howard H.,H.H.,true,60121548,1,NA
true,45,https://api.elsevier.com/content/author/author_id/56214208300,56214208300,Frisoni G.B.,Frisoni,Giovanni B.,G.B.,true,60004718,1,NA
true,1,https://api.elsevier.com/content/author/author_id/6602895687,6602895687,Candia J.,Candia,Julián,J.,true,60017252,2,0000-0001-5793-8989
true,2,https://api.elsevier.com/content/author/author_id/7004033816,7004033816,Fantoni G.,Fantoni,Giovanna,G.,true,60017252,2,NA
true,3,https://api.elsevier.com/content/author/author_id/56310604000,56310604000,Delgado-Peraza F.,Delgado-Peraza,Francheska,F.,true,60017252,2,NA
true,4,https://api.elsevier.com/content/author/author_id/58290407100,58290407100,Shehadeh N.,Shehadeh,Nader,N.,true,60017252,2,NA
true,5,https://api.elsevier.com/content/author/author_id/57211009334,57211009334,Tanaka T.,Tanaka,Toshiko,T.,true,60017252,2,NA
true,6,https://api.elsevier.com/content/author/author_id/6602805658,6602805658,Moaddel R.,Moaddel,Ruin,R.,true,60017252,2,NA
true,7,https://api.elsevier.com/content/author/author_id/58294717300,58294717300,Walker K.A.,Walker,Keenan A.,K.A.,true,60017252,2,NA
true,8,https://api.elsevier.com/content/author/author_id/57215726620,57215726620,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,2,NA
true,1,https://api.elsevier.com/content/author/author_id/56013952300,56013952300,Tan A.H.,Tan,Ai Huey,A.H.,true,60029157,3,0000-0002-2979-3839
true,2,https://api.elsevier.com/content/author/author_id/57203572148,57203572148,Saffie-Awad P.,Saffie-Awad,Paula,P.,true,60006726,3,0000-0002-8056-365X
true,3,https://api.elsevier.com/content/author/author_id/55502929400,55502929400,Schumacher Schuh A.F.,Schumacher Schuh,Artur F.,A.F.,true,60006726,3,0000-0002-8722-0908
true,4,https://api.elsevier.com/content/author/author_id/14046922800,14046922800,Lim S.Y.,Lim,Shen Yang,S.Y.,true,60029157,3,0000-0002-6942-2522
true,5,https://api.elsevier.com/content/author/author_id/57201580570,57201580570,Madoev H.,Madoev,Harutyun,H.,true,60012408,3,NA
true,6,https://api.elsevier.com/content/author/author_id/6506634397,6506634397,Ahmad-Annuar A.,Ahmad-Annuar,Azlina,A.,true,60029157,3,NA
true,7,https://api.elsevier.com/content/author/author_id/58031210300,58031210300,Solle J.,Solle,J.,J.,true,60113050,3,0000-0002-9941-4830
true,8,https://api.elsevier.com/content/author/author_id/56022078600,56022078600,Wegel C.E.,Wegel,Claire E.,C.E.,true,60024609,3,NA
true,9,https://api.elsevier.com/content/author/author_id/57220632685,57220632685,Doquenia M.L.,Doquenia,Maria Leila,M.L.,true,60012408,3,NA
true,10,https://api.elsevier.com/content/author/author_id/57771124200,57771124200,Dey S.,Dey,Sumit,S.,true,60021435,3,NA
true,11,https://api.elsevier.com/content/author/author_id/57202160282,57202160282,Perinan M.T.,Perinan,Maria Teresa,M.T.,true,60021435,3,NA
true,12,https://api.elsevier.com/content/author/author_id/57211347742,57211347742,Makarious M.B.,Makarious,Mary B.,M.B.,true,60017252,3,NA
true,13,https://api.elsevier.com/content/author/author_id/6506291240,6506291240,Fiske B.,Fiske,Brian,B.,true,60113050,3,NA
true,14,https://api.elsevier.com/content/author/author_id/56234940000,56234940000,Morris H.R.,Morris,Huw R.,H.R.,true,60019953,3,0000-0002-5473-3774
true,15,https://api.elsevier.com/content/author/author_id/24438206900,24438206900,Noyce A.J.,Noyce,Alastair J.,A.J.,true,60021435,3,0000-0003-3027-5497
true,16,https://api.elsevier.com/content/author/author_id/23088255000,23088255000,Alcalay R.N.,Alcalay,Roy N.,R.N.,true,60027565,3,0000-0002-5717-4875
true,17,https://api.elsevier.com/content/author/author_id/56612680200,56612680200,Kumar K.R.,Kumar,Kishore Raj,K.R.,true,60025709,3,0000-0003-3482-6962
true,18,https://api.elsevier.com/content/author/author_id/26642933500,26642933500,Klein C.,Klein,Christine,C.,true,60012408,3,NA
true,1,https://api.elsevier.com/content/author/author_id/59459152900,59459152900,Sagun J.P.,Sagun,Jeffrey P.,J.P.,true,60013409,4,0009-0002-4551-5967
true,2,https://api.elsevier.com/content/author/author_id/35322228200,35322228200,Khan S.G.,Khan,Sikandar G.,S.G.,true,60013409,4,NA
true,3,https://api.elsevier.com/content/author/author_id/10641101200,10641101200,Imoto K.,Imoto,Kyoko,K.,true,60013409,4,NA
true,4,https://api.elsevier.com/content/author/author_id/14623385700,14623385700,Tamura D.,Tamura,Deborah,D.,true,60013409,4,NA
true,5,https://api.elsevier.com/content/author/author_id/7402730339,7402730339,Oh K.S.,Oh,Kyu Seon,K.S.,true,60013409,4,NA
true,6,https://api.elsevier.com/content/author/author_id/7006162384,7006162384,DiGiovanna J.J.,DiGiovanna,John J.,J.J.,true,60013409,4,NA
true,7,https://api.elsevier.com/content/author/author_id/7101966732,7101966732,Kraemer K.H.,Kraemer,Kenneth H.,K.H.,true,60013409,4,0000-0002-2689-3316
true,1,https://api.elsevier.com/content/author/author_id/57203664015,57203664015,Li Z.,Li,Ziyi,Z.,true,60017252,5,0000-0002-5165-8772
true,2,https://api.elsevier.com/content/author/author_id/56511419600,56511419600,Weller C.A.,Weller,Cory A.,C.A.,true,60017252,5,0000-0001-6965-5599
true,3,https://api.elsevier.com/content/author/author_id/57202548436,57202548436,Shah S.,Shah,Syed,S.,true,60017252,5,0000-0002-2094-3386
true,4,https://api.elsevier.com/content/author/author_id/57847235400,57847235400,Johnson N.L.,Johnson,Nicholas L.,N.L.,true,60017252,5,0009-0004-1464-5050
true,5,https://api.elsevier.com/content/author/author_id/57220201213,57220201213,Hao Y.,Hao,Ying,Y.,true,60017252,5,0000-0001-5053-4850
true,6,https://api.elsevier.com/content/author/author_id/56928018300,56928018300,Jarreau P.B.,Jarreau,Paige B.,P.B.,true,60017252,5,0000-0002-3963-2641
true,7,https://api.elsevier.com/content/author/author_id/58085256800,58085256800,Roberts J.,Roberts,Jessica,J.,true,60017252,5,0009-0001-4103-9222
true,8,https://api.elsevier.com/content/author/author_id/59642409200,59642409200,Guha D.,Guha,Deyaan,D.,true,60017252,5,0009-0004-1955-7818
true,9,https://api.elsevier.com/content/author/author_id/58158543800,58158543800,Bereda C.,Bereda,Colleen,C.,true,60017252,5,0000-0002-9435-6141
true,10,https://api.elsevier.com/content/author/author_id/58822171400,58822171400,Klaisner S.,Klaisner,Sydney,S.,true,60017252,5,0009-0001-5033-0388
true,11,https://api.elsevier.com/content/author/author_id/35243075300,35243075300,Machado P.,Machado,Pedro,P.,true,60019953,5,0000-0002-8411-7972
true,12,https://api.elsevier.com/content/author/author_id/57224123236,57224123236,Zanovello M.,Zanovello,Matteo,M.,true,60019953,5,0000-0003-3343-1547
true,13,https://api.elsevier.com/content/author/author_id/11339405600,11339405600,Prudencio M.,Prudencio,Mercedes,M.,true,60018859,5,0000-0002-4894-4858
true,14,https://api.elsevier.com/content/author/author_id/26026084400,26026084400,Oskarsson B.,Oskarsson,Björn,B.,true,60018859,5,0000-0002-1725-9866
true,15,https://api.elsevier.com/content/author/author_id/6506814391,6506814391,Staff N.P.,Staff,Nathan P.,N.P.,true,60005558,5,0000-0001-6760-3859
true,16,https://api.elsevier.com/content/author/author_id/35355842400,35355842400,Dickson D.W.,Dickson,Dennis W.,D.W.,true,60018859,5,0000-0001-7189-7917
