@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,95,https://api.elsevier.com/content/author/author_id/57200103541,57200103541,NA,Cutting A.N.,Cutting,Allison N.,A.N.,NA,NA,115
true,96,https://api.elsevier.com/content/author/author_id/7004469735,7004469735,NA,Daily G.C.,Daily,Gretchen C.,G.C.,NA,NA,115
true,97,https://api.elsevier.com/content/author/author_id/57954835600,57954835600,NA,Da-Rocha J.M.,Da-Rocha,Jose Maria,J.M.,NA,NA,115
true,98,https://api.elsevier.com/content/author/author_id/57221790164,57221790164,NA,Das A.,Das,Abhipsita,A.,NA,NA,115
true,99,https://api.elsevier.com/content/author/author_id/55911428400,55911428400,NA,De La Puente S.,De La Puente,Santiago,S.,NA,NA,115
true,100,https://api.elsevier.com/content/author/author_id/6602858312,6602858312,NA,De Zeeuw A.,De Zeeuw,Aart,A.,NA,NA,115
true,1,https://api.elsevier.com/content/author/author_id/6507073742,6507073742,NA,Thambisetty M.,Thambisetty,Madhav,M.,true,60017252,116
true,2,https://api.elsevier.com/content/author/author_id/34769841900,34769841900,NA,Howard R.,Howard,Robert,R.,true,60022148,116
true,3,https://api.elsevier.com/content/author/author_id/6508325755,6508325755,NA,Glymour M.M.,Glymour,M. Maria,M.M.,true,60031970,116
true,4,https://api.elsevier.com/content/author/author_id/7202548365,7202548365,NA,Schneider L.S.,Schneider,Lon S.,L.S.,true,60015183,116
true,1,https://api.elsevier.com/content/author/author_id/55965768400,55965768400,NA,Katsuki Y.,Katsuki,Yoko,Y.,true,60119326,117
true,2,https://api.elsevier.com/content/author/author_id/57204815434,57204815434,NA,Abe M.,Abe,Masako,M.,true,60119326,117
true,3,https://api.elsevier.com/content/author/author_id/57194271750,57194271750,NA,Park S.Y.,Park,Seon Young,S.Y.,true,60003533,117
true,4,https://api.elsevier.com/content/author/author_id/55897082600,55897082600,NA,Wu W.,Wu,Wenwen,W.,true,60170311,117
true,5,https://api.elsevier.com/content/author/author_id/16044434400,16044434400,NA,Yabe H.,Yabe,Hiromasa,H.,true,60028799,117
true,6,https://api.elsevier.com/content/author/author_id/7005872022,7005872022,NA,Yabe M.,Yabe,Miharu,M.,true,60028799,117
true,7,https://api.elsevier.com/content/author/author_id/6507071141,6507071141,0000-0001-8590-0240,van Attikum H.,van Attikum,Haico,H.,true,60015618,117
true,8,https://api.elsevier.com/content/author/author_id/35478150600,35478150600,NA,Nakada S.,Nakada,Shinichiro,S.,true,60175967,117
true,9,https://api.elsevier.com/content/author/author_id/7403162627,7403162627,NA,Ohta T.,Ohta,Tomohiko,T.,true,60170311,117
true,10,https://api.elsevier.com/content/author/author_id/7006683449,7006683449,NA,Seidman M.M.,Seidman,Michael M.,M.M.,true,60017252,117
true,11,https://api.elsevier.com/content/author/author_id/57204676401,57204676401,NA,Kim Y.,Kim,Yonghwan,Y.,true,60003533,117
true,12,https://api.elsevier.com/content/author/author_id/55428424900,55428424900,0000-0002-4926-3675,Takata M.,Takata,Minoru,M.,true,60119326,117
true,1,https://api.elsevier.com/content/author/author_id/57222051381,57222051381,NA,Antar T.,Antar,Tarek,T.,true,60017252,118
true,2,https://api.elsevier.com/content/author/author_id/7401534782,7401534782,NA,Morris H.R.,Morris,Huw R.,H.R.,true,60019953,118
true,3,https://api.elsevier.com/content/author/author_id/55536647700,55536647700,NA,Faghri F.,Faghri,Faraz,F.,true,60017252,118
true,4,https://api.elsevier.com/content/author/author_id/7005060418,7005060418,NA,Leonard H.L.,Leonard,Hampton L.,H.L.,true,60017252,118
true,5,https://api.elsevier.com/content/author/author_id/55630773200,55630773200,NA,Nalls M.A.,Nalls,Mike A.,M.A.,true,60017252,118
true,6,https://api.elsevier.com/content/author/author_id/7006092717,7006092717,NA,Singleton A.B.,Singleton,Andrew B.,A.B.,true,60017252,118
true,7,https://api.elsevier.com/content/author/author_id/57088058900,57088058900,NA,Iwaki H.,Iwaki,Hirotaka,H.,true,60017252,118
true,1,https://api.elsevier.com/content/author/author_id/57209477596,57209477596,NA,Liu X.,Liu,Xue,X.,true,60018701,119
true,2,https://api.elsevier.com/content/author/author_id/57203241700,57203241700,NA,Longchamps R.J.,Longchamps,Ryan J.,R.J.,true,60001117,119
true,3,https://api.elsevier.com/content/author/author_id/57204456605,57204456605,NA,Wiggins K.L.,Wiggins,Kerri L.,K.L.,true,60028548,119
true,4,https://api.elsevier.com/content/author/author_id/55769881800,55769881800,NA,Raffield L.M.,Raffield,Laura M.,L.M.,true,60020469,119
true,5,https://api.elsevier.com/content/author/author_id/57200609727,57200609727,NA,Bielak L.F.,Bielak,Lawrence F.,L.F.,true,60016660,119
true,6,https://api.elsevier.com/content/author/author_id/57217566945,57217566945,NA,Zhao W.,Zhao,Wei,W.,true,60016660,119
true,7,https://api.elsevier.com/content/author/author_id/56988973500,56988973500,NA,Pitsillides A.,Pitsillides,Achilleas,A.,true,60018701,119
true,8,https://api.elsevier.com/content/author/author_id/57216582005,57216582005,NA,Blackwell T.W.,Blackwell,Thomas W.,T.W.,true,60025778,119
true,9,https://api.elsevier.com/content/author/author_id/57214844210,57214844210,NA,Yao J.,Yao,Jie,J.,true,60016081,119
true,10,https://api.elsevier.com/content/author/author_id/7404330868,7404330868,NA,Guo X.,Guo,Xiuqing,X.,true,60016081,119
true,11,https://api.elsevier.com/content/author/author_id/57210289698,57210289698,NA,Kurniansyah N.,Kurniansyah,Nuzulul,N.,true,60016782,119
true,12,https://api.elsevier.com/content/author/author_id/6602856354,6602856354,NA,Thyagarajan B.,Thyagarajan,Bharat,B.,true,60008772,119
true,13,https://api.elsevier.com/content/author/author_id/8836918800,8836918800,NA,Pankratz N.,Pankratz,Nathan,N.,true,60029445,119
true,14,https://api.elsevier.com/content/author/author_id/57216593979,57216593979,NA,Rich S.S.,Rich,Stephen S.,S.S.,true,60030846,119
true,15,https://api.elsevier.com/content/author/author_id/57212938461,57212938461,0000-0002-2756-4370,Taylor K.D.,Taylor,Kent D.,K.D.,true,60016081,119
true,16,https://api.elsevier.com/content/author/author_id/57210974960,57210974960,NA,Peyser P.A.,Peyser,Patricia A.,P.A.,true,60016660,119
true,17,https://api.elsevier.com/content/author/author_id/7005828089,7005828089,NA,Heckbert S.R.,Heckbert,Susan R.,S.R.,true,60028548,119
true,18,https://api.elsevier.com/content/author/author_id/57211936432,57211936432,NA,Seshadri S.,Seshadri,Sudha,S.,true,60018573,119
true,19,https://api.elsevier.com/content/author/author_id/57203177830,57203177830,NA,Cupples L.A.,Cupples,L. Adrienne,L.A.,true,60018701,119
true,20,https://api.elsevier.com/content/author/author_id/7102087489,7102087489,NA,Boerwinkle E.,Boerwinkle,Eric,E.,true,60027512,119
true,21,https://api.elsevier.com/content/author/author_id/57214664891,57214664891,NA,Grove M.L.,Grove,Megan L.,M.L.,true,60027512,119
true,22,https://api.elsevier.com/content/author/author_id/55648866100,55648866100,NA,Larson N.B.,Larson,Nicholas B.,N.B.,true,60081114,119
true,23,https://api.elsevier.com/content/author/author_id/57218091490,57218091490,0000-0002-3575-5468,Smith J.A.,Smith,Jennifer A.,J.A.,true,60016660,119
true,24,https://api.elsevier.com/content/author/author_id/35369677100,35369677100,0000-0001-7357-5970,Vasan R.S.,Vasan,Ramachandran S.,R.S.,true,60006577,119
true,25,https://api.elsevier.com/content/author/author_id/57206407070,57206407070,0000-0001-8520-8860,Sofer T.,Sofer,Tamar,T.,true,60016782,119
true,26,https://api.elsevier.com/content/author/author_id/57203228891,57203228891,NA,Fitzpatrick A.L.,Fitzpatrick,Annette L.,A.L.,true,60015481,119
true,27,https://api.elsevier.com/content/author/author_id/6602465971,6602465971,NA,Fornage M.,Fornage,Myriam,M.,true,60027512,119
true,28,https://api.elsevier.com/content/author/author_id/36190719600,36190719600,NA,Ding J.,Ding,Jun,J.,true,60017252,119
true,29,https://api.elsevier.com/content/author/author_id/7103145600,7103145600,0000-0002-9501-600X,Correa A.,Correa,Adolfo,A.,true,60013794,119
true,30,https://api.elsevier.com/content/author/author_id/56521788900,56521788900,NA,Abecasis G.,Abecasis,Goncalo,G.,true,60025778,119
true,31,https://api.elsevier.com/content/author/author_id/35374213400,35374213400,NA,Psaty B.M.,Psaty,Bruce M.,B.M.,true,60028548,119
true,32,https://api.elsevier.com/content/author/author_id/59783046100,59783046100,NA,Wilson J.G.,Wilson,James G.,J.G.,true,60013794,119
true,33,https://api.elsevier.com/content/author/author_id/56841119800,56841119800,NA,Levy D.,Levy,Daniel,D.,true,60006577,119
true,34,https://api.elsevier.com/content/author/author_id/56284453500,56284453500,NA,Rotter J.I.,Rotter,Jerome I.,J.I.,true,60016081,119
true,35,https://api.elsevier.com/content/author/author_id/6603292486,6603292486,NA,Bis J.C.,Bis,Joshua C.,J.C.,true,60028548,119
true,36,https://api.elsevier.com/content/author/author_id/15842728500,15842728500,NA,Satizabal C.L.,Satizabal,Claudia L.,C.L.,true,60018573,119
true,37,https://api.elsevier.com/content/author/author_id/57212013993,57212013993,NA,Arking D.E.,Arking,Dan E.,D.E.,true,60001117,119
true,38,https://api.elsevier.com/content/author/author_id/57203270671,57203270671,0000-0002-9160-0153,Liu C.,Liu,Chunyu,C.,true,60018701,119
true,1,https://api.elsevier.com/content/author/author_id/57193485620,57193485620,NA,Herman A.B.,Herman,Allison B.,A.B.,true,60017252,120
true,2,https://api.elsevier.com/content/author/author_id/57213825657,57213825657,NA,Occean J.R.,Occean,James R.,J.R.,true,60017252,120
true,3,https://api.elsevier.com/content/author/author_id/13205280500,13205280500,NA,Sen P.,Sen,Payel,P.,true,60017252,120
true,1,https://api.elsevier.com/content/author/author_id/57221723037,57221723037,NA,Mishra A.,Mishra,Amrendra,A.,true,60029311,121
true,2,https://api.elsevier.com/content/author/author_id/37034594600,37034594600,NA,Mirzaei H.,Mirzaei,Hamed,H.,true,60029311,121
true,3,https://api.elsevier.com/content/author/author_id/57192643815,57192643815,NA,Guidi N.,Guidi,Novella,N.,true,60029311,121
true,4,https://api.elsevier.com/content/author/author_id/6603555514,6603555514,NA,Vinciguerra M.,Vinciguerra,Manlio,M.,true,60068899,121
true,5,https://api.elsevier.com/content/author/author_id/54945409200,54945409200,0000-0002-0598-8789,Mouton A.,Mouton,Alice,A.,true,60027550,121
true,6,https://api.elsevier.com/content/author/author_id/57196197128,57196197128,NA,Linardic M.,Linardic,Marina,M.,true,60027550,121
true,7,https://api.elsevier.com/content/author/author_id/56007949600,56007949600,0000-0001-6610-5268,Rappa F.,Rappa,Francesca,F.,true,60017697,121
true,8,https://api.elsevier.com/content/author/author_id/55309215300,55309215300,NA,Barone R.,Barone,Rosario,R.,true,60017697,121
true,9,https://api.elsevier.com/content/author/author_id/49763781900,49763781900,NA,Navarrete G.,Navarrete,Gerardo,G.,true,60029311,121
true,10,https://api.elsevier.com/content/author/author_id/35363140800,35363140800,NA,Wei M.,Wei,Min,M.,true,60029311,121
true,11,https://api.elsevier.com/content/author/author_id/55276499800,55276499800,NA,Brandhorst S.,Brandhorst,Sebastian,S.,true,60029311,121
true,12,https://api.elsevier.com/content/author/author_id/55316776700,55316776700,NA,Di Biase S.,Di Biase,Stefano,S.,true,60029311,121
true,13,https://api.elsevier.com/content/author/author_id/57203051899,57203051899,0000-0002-9874-5080,Morgan T.E.,Morgan,Todd E.,T.E.,true,60029311,121
true,14,https://api.elsevier.com/content/author/author_id/57211648110,57211648110,NA,Ram Kumar S.,Ram Kumar,S.,S.,true,60015183,121
true,15,https://api.elsevier.com/content/author/author_id/35449234700,35449234700,NA,Conti P.S.,Conti,Peter S.,P.S.,true,60015183,121
true,16,https://api.elsevier.com/content/author/author_id/7103161935,7103161935,NA,Pellegrini M.,Pellegrini,Matteo,M.,true,60027550,121
true,17,https://api.elsevier.com/content/author/author_id/7102843643,7102843643,0000-0002-5948-368X,Bernier M.,Bernier,Michel,M.,true,60017252,121
true,18,https://api.elsevier.com/content/author/author_id/6602763291,6602763291,0000-0002-3354-2442,de Cabo R.,de Cabo,Rafael,R.,true,60017252,121
true,19,https://api.elsevier.com/content/author/author_id/7005786660,7005786660,0000-0002-0946-7534,Longo V.D.,Longo,Valter D.,V.D.,true,60029311,121
true,1,https://api.elsevier.com/content/author/author_id/8720330300,8720330300,0000-0003-4938-9478,Cawthon P.M.,Cawthon,Peggy M.,P.M.,true,60021137,122
true,2,https://api.elsevier.com/content/author/author_id/57205533239,57205533239,NA,Patel S.M.,Patel,Sheena M.,S.M.,true,60021137,122
true,3,https://api.elsevier.com/content/author/author_id/7005494101,7005494101,0000-0003-3336-6781,Kritchevsky S.B.,Kritchevsky,Stephen B.,S.B.,true,60031437,122
true,4,https://api.elsevier.com/content/author/author_id/56962723400,56962723400,NA,Newman A.B.,Newman,Anne B.,A.B.,true,60003742,122
true,5,https://api.elsevier.com/content/author/author_id/56086144600,56086144600,0000-0002-6912-2909,Santanasto A.,Santanasto,Adam,A.,true,60003742,122
true,6,https://api.elsevier.com/content/author/author_id/57218216683,57218216683,NA,Kiel D.P.,Kiel,Douglas P.,D.P.,true,60002746,122
true,7,https://api.elsevier.com/content/author/author_id/8534473400,8534473400,0000-0002-1030-7175,Travison T.G.,Travison,Thomas G.,T.G.,true,60002746,122
true,8,https://api.elsevier.com/content/author/author_id/7101606870,7101606870,NA,Lane N.,Lane,Nancy,N.,true,60003160,122
true,9,https://api.elsevier.com/content/author/author_id/57211726124,57211726124,NA,Cummings S.R.,Cummings,Steven R.,S.R.,true,60021137,122
true,10,https://api.elsevier.com/content/author/author_id/7006582897,7006582897,NA,Orwoll E.S.,Orwoll,Eric S.,E.S.,true,60016733,122
true,11,https://api.elsevier.com/content/author/author_id/57193310898,57193310898,NA,Duchowny K.A.,Duchowny,Kate A.,K.A.,true,60031970,122
true,12,https://api.elsevier.com/content/author/author_id/7006475934,7006475934,NA,Kwok T.,Kwok,Timothy,T.,true,60086464,122
true,13,https://api.elsevier.com/content/author/author_id/8726923800,8726923800,NA,Hirani V.,Hirani,Vasant,V.,true,60010710,122
true,14,https://api.elsevier.com/content/author/author_id/6603312072,6603312072,NA,Schousboe J.,Schousboe,John,J.,true,60013660,122
true,15,https://api.elsevier.com/content/author/author_id/16178166100,16178166100,NA,Karlsson M.K.,Karlsson,Magnus K.,M.K.,true,60014077,122
